,comment_id,comment_url,commenter_id,commenter_url,commenter_name,commenter_meta,comment_text,comment_time,comment_image,comment_reactors,comment_reactions,comment_reaction_count,replies
0,10158751921398951,https://facebook.com/10158751921398951,1273500187,https://facebook.com/Rimalapn?fref=nf&rc=p&refid=52&__tn__=R,RM X Malapitn,,Wisdom the albatraoz:,2021-11-10 07:48:02,https://media1.tenor.co/images/ba1fa78177bdc4bfbd3d69bbfa6829a8/tenor.gif?itemid=23701595&fbclid=IwAR1eXKFNT6lfhi61sBOHs3HB5M5pIkWib2njJvu6IyITDdN8rubJEQVBVJY,[],,,[]
1,10158751999473951,https://facebook.com/10158751999473951,100005197873697,https://facebook.com/katiejardine83?fref=nf&rc=p&refid=52&__tn__=R,Katie Jardine,,"She hasn’t been killed by humans, directly or otherwise.",2021-11-10 08:48:02,,[],,,[]
2,10158752034233951,https://facebook.com/10158752034233951,100004918755379,https://facebook.com/profile.php?id=100004918755379&fref=nf&rc=p&refid=52&__tn__=R,Luis Reyna,,"she is pushing the boundaries of what we thought birds could do. today she just published her autobiography, ""Caw Caw: Caw Caw, Caw Caw Caw"", an impressive feat for someone who has no fingers to type with",2021-11-10 09:48:02,,[],,,"[{'comment_id': '10158752056923951', 'comment_url': 'https://facebook.com/10158752056923951', 'commenter_id': '565081463', 'commenter_url': 'https://facebook.com/melissa.cheyne.3?fref=nf&rc=p&__tn__=R', 'commenter_name': 'Melissa Lee', 'commenter_meta': None, 'comment_text': ""Luis Reyna where's your auto"", 'comment_time': datetime.datetime(2021, 11, 10, 9, 56, 7), 'comment_image': None, 'comment_reactors': [], 'comment_reactions': None, 'comment_reaction_count': None}]"
3,10158752056923951,https://facebook.com/10158752056923951,565081463,https://facebook.com/melissa.cheyne.3?fref=nf&rc=p&__tn__=R,Melissa Lee,,Luis Reyna where's your auto,2021-11-10 09:56:07,,[],,,
4,10158751941108951,https://facebook.com/10158751941108951,1281382095,https://facebook.com/grace.reddell?fref=nf&rc=p&refid=52&__tn__=R,Grace Renée Reddell,,🌈💜🌈,2021-11-10 07:48:02,,[],,,[]
5,10158751914803951,https://facebook.com/10158751914803951,1376858425,https://facebook.com/HECTOR1961?fref=nf&rc=p&refid=52&__tn__=R,Hector Fernandez,,Why wouldn’t they survive a tsunami if they are birds?!...,2021-11-10 07:48:03,,[],,,"[{'comment_id': '10158751920733951', 'comment_url': 'https://facebook.com/10158751920733951', 'commenter_id': '100007677512414', 'commenter_url': 'https://facebook.com/juanrafaelpalomo?fref=nf&rc=p&__tn__=R', 'commenter_name': 'Tunko Maclovio', 'commenter_meta': None, 'comment_text': 'Hector Fernandez Simon', 'comment_time': datetime.datetime(2021, 11, 10, 7, 48, 9), 'comment_image': None, 'comment_reactors': [], 'comment_reactions': None, 'comment_reaction_count': None}, {'comment_id': '10158751949243951', 'comment_url': 'https://facebook.com/10158751949243951', 'commenter_id': '565081463', 'commenter_url': 'https://facebook.com/melissa.cheyne.3?fref=nf&rc=p&__tn__=R', 'commenter_name': 'Melissa Lee', 'commenter_meta': None, 'comment_text': 'Hector Fernandez probably messes with thier food supply', 'comment_time': datetime.datetime(2021, 11, 10, 7, 48, 9), 'comment_image': None, 'comment_reactors': [], 'comment_reactions': None, 'comment_reaction_count': None}, {'comment_id': '10158751959248951', 'comment_url': 'https://facebook.com/10158751959248951', 'commenter_id': '100057782296243', 'commenter_url': 'https://facebook.com/robert.lungal.7?fref=nf&rc=p&__tn__=R', 'commenter_name': 'Robert Lungal', 'commenter_meta': None, 'comment_text': 'Washes away nesting sites?', 'comment_time': datetime.datetime(2021, 11, 10, 8, 48, 9), 'comment_image': None, 'comment_reactors': [], 'comment_reactions': None, 'comment_reaction_count': None}, {'comment_id': '10158751992458951', 'comment_url': 'https://facebook.com/10158751992458951', 'commenter_id': '1580966277', 'commenter_url': 'https://facebook.com/tim.j.huff?fref=nf&rc=p&__tn__=R', 'commenter_name': 'Tim Huff Jr', 'commenter_meta': None, 'comment_text': 'Hector Fernandez you understand how hard it is for them to take off, right??', 'comment_time': datetime.datetime(2021, 11, 10, 8, 48, 9), 'comment_image': None, 'comment_reactors': [], 'comment_reactions': None, 'comment_reaction_count': None}]"
6,10158751920733951,https://facebook.com/10158751920733951,100007677512414,https://facebook.com/juanrafaelpalomo?fref=nf&rc=p&__tn__=R,Tunko Maclovio,,Hector Fernandez Simon,2021-11-10 07:48:09,,[],,,
7,10158751949243951,https://facebook.com/10158751949243951,565081463,https://facebook.com/melissa.cheyne.3?fref=nf&rc=p&__tn__=R,Melissa Lee,,Hector Fernandez probably messes with thier food supply,2021-11-10 07:48:09,,[],,,
8,10158751959248951,https://facebook.com/10158751959248951,100057782296243,https://facebook.com/robert.lungal.7?fref=nf&rc=p&__tn__=R,Robert Lungal,,Washes away nesting sites?,2021-11-10 08:48:09,,[],,,
9,10158751992458951,https://facebook.com/10158751992458951,1580966277,https://facebook.com/tim.j.huff?fref=nf&rc=p&__tn__=R,Tim Huff Jr,,"Hector Fernandez you understand how hard it is for them to take off, right??",2021-11-10 08:48:09,,[],,,
