,comments,labels
0,",comment_id,comment_url,commenter_id,commenter_url,commenter_name,commenter_meta,comment_text,comment_time,comment_image,comment_reactors,comment_reactions,comment_reaction_count,replies",N
1,",,acebook.com/,,acebook.com/tsiegle?fref=nf&rc=p&refid=&__tn__=R,Terry Siegle,,Please quit putting commercials in the middle of a video. The video doesn’t stop. So missing - seconds is annoying. I pray another video company starts up. Commercials are really bad when your just trying to watch videos all day and get interrupted with a : break during one video and miss the end of video. And the beginning of the next. No I can’t be near the remote every second to push skip commercials. Please cut down on them.,-- ::,,[],,,[{'comment_id': '', 'comment_url': 'acebook.com/', 'commenter_id': '', 'commenter_url': 'acebook.com/CitrusandCapri?fref=nf&rc=p&__tn__=R', 'commenter_name': 'Carolin Wollschlaeger', 'commenter_meta': None, 'comment_text': 'Terry Siegle Especially within music videos.', 'comment_time': datetime.datetime(, , , , , ), 'comment_image': None, 'comment_reactors': [], 'comment_reactions': None, 'comment_reaction_count': None}, {'comment_id': '', 'comment_url': 'acebook.com/', 'commenter_id': '', 'commenter_url': 'acebook.com/Nick.galea.?fref=nf&rc=p&__tn__=R', 'commenter_name': 'Nick Galea', 'commenter_meta': None, 'comment_text': 'Adblock Plus, no ads at all.', 'comment_time': datetime.datetime(, , , , , ), 'comment_image': None, 'comment_reactors': [], 'comment_reactions': None, 'comment_reaction_count': None}]",0
2,",,acebook.com/,,acebook.com/CitrusandCapri?fref=nf&rc=p&__tn__=R,Carolin Wollschlaeger,,Terry Siegle Especially within music videos.,-- ::,,[],,,",N
3,",,acebook.com/,,acebook.com/Nick.galea.?fref=nf&rc=p&__tn__=R,Nick Galea,,Adblock Plus, no ads at all.,-- ::,,[],,,",0
4,",,acebook.com/,,acebook.com/jill.loggins?fref=nf&rc=p&refid=&__tn__=R,Jill Lappin Loggins,,Hey YouTube - just bought my st ever iTunes song that you removed the video….Let’s Go Brandon by Bryson Gray. You’re woke culture doesn’t work! 😡,-- ::,,[],,,[{'comment_id': '', 'comment_url': 'acebook.com/', 'commenter_id': '', 'commenter_url': 'acebook.com/ruslancrscmur?fref=nf&rc=p&__tn__=R', 'commenter_name': 'Лада Яблочкова', 'commenter_meta': None, 'comment_text': 'Jill Lappin Loggins The truth about life and death in pages: Google Global Truth Project and read The Present.', 'comment_time': datetime.datetime(, , , , , ), 'comment_image': None, 'comment_reactors': [], 'comment_reactions': None, 'comment_reaction_count': None}, {'comment_id': '', 'comment_url': 'acebook.com/', 'commenter_id': '', 'commenter_url': 'acebook.com/oji.ma.?fref=nf&rc=p&__tn__=R', 'commenter_name': 'Oji Ma', 'commenter_meta': None, 'comment_text': 'Jill Lappin Loggins have you seek the assistance of Legitcoding on Instagram he helped me last week when I had same issues', 'comment_time': datetime.datetime(, , , , ), 'comment_image': None, 'comment_reactors': [], 'comment_reactions': None, 'comment_reaction_count': None}]",0
5,",,acebook.com/,,acebook.com/ruslancrscmur?fref=nf&rc=p&__tn__=R,Лада Яблочкова,,Jill Lappin Loggins The truth about life and death in pages: Google Global Truth Project and read The Present.,-- ::,,[],,,",0
6,",,acebook.com/,,acebook.com/oji.ma.?fref=nf&rc=p&__tn__=R,Oji Ma,,Jill Lappin Loggins have you seek the assistance of Legitcoding on Instagram he helped me last week when I had same issues,-- ::,,[],,,",N
7,",,acebook.com/,,acebook.com/muheydinyassinadam.alkenan?fref=nf&rc=p&refid=&__tn__=R,Muheydin Yassin Adam Alkenan,,The climate change how many passengers. And way?,-- ::,,[],,,[{'comment_id': '', 'comment_url': 'acebook.com/', 'commenter_id': '', 'commenter_url': 'acebook.com/profile.php?id=&fref=nf&rc=p&__tn__=R', 'commenter_name': 'Vangjel Petushi', 'commenter_meta': None, 'comment_text': 'Muheydin Yassin Adam Alkenan', 'comment_time': datetime.datetime(, , , , , ), 'comment_image': None, 'comment_reactors': [], 'comment_reactions': None, 'comment_reaction_count': None}, {'comment_id': '', 'comment_url': 'acebook.com/', 'commenter_id': '', 'commenter_url': 'acebook.com/profile.php?id=&fref=nf&rc=p&__tn__=R', 'commenter_name': 'خالد خالد', 'commenter_meta': None, 'comment_text': 'Muheydin Yassin Adam Alkenan فرصه عمل عن طريق الانترنت من عمر - سنه. العمل عباره عن نشر اعلانات على شبكات التواصل الاجتماعي .بدون شهادات اوخبرات سابقه بلمجال. العمل ضمن فريق دولي حول العالم  ردا كنت مهتم اترك تفاصيلك بلخاص شكرا🙏 واتس اب +', 'comment_time': datetime.datetime(, , , , , ), 'comment_image': None, 'comment_reactors': [], 'comment_reactions': None, 'comment_reaction_count': None}, {'comment_id': '', 'comment_url': 'acebook.com/', 'commenter_id': '', 'commenter_url': 'acebook.com/profile.php?id=&fref=nf&rc=p&__tn__=R', 'commenter_name': 'ประดิษฐ์ ตาดเรือง', 'commenter_meta': None, 'comment_text': 'Muheydin Yassin Adam Alkenan', 'comment_time': datetime.datetime(, , , , ), 'comment_image': None, 'comment_reactors': [], 'comment_reactions': None, 'comment_reaction_count': None}, {'comment_id': '', 'comment_url': 'acebook.com/', 'commenter_id': '', 'commenter_url': 'acebook.com/profile.php?id=&fref=nf&rc=p&__tn__=R', 'commenter_name': 'ประดิษฐ์ ตาดเรือง', 'commenter_meta': None, 'comment_text': 'ประดิษฐ์ ตาดเรือง', 'comment_time': datetime.datetime(, , , , ), 'comment_image': 'content.famm-.fna.fbcdn.net/v/t-/px/___n.png?_nc_cat=&ccb=-&_nc_sid=ac&efg=eyJpIjoidCJ&_nc_eui=AeFNGradWHiBzJKxcBcYLSPhZvwFxgtI-Fm_VPek_dZsKSqjnufBm-AyHVSXPspxROtObyT&_nc_ohc=y_HQNPEAX-_tUzL&_nc_zt=&_nc_ht=scontent.famm-.fna&oh=ecebbdbacfdbcf&oe=F', 'comment_reactors': [], 'comment_reactions': None, 'comment_reaction_count': None}]",N
8,",,acebook.com/,,acebook.com/profile.php?id=&fref=nf&rc=p&__tn__=R,Vangjel Petushi,,Muheydin Yassin Adam Alkenan,-- ::,,[],,,",N
9,",,acebook.com/,,acebook.com/profile.php?id=&fref=nf&rc=p&__tn__=R,خالد خالد,,Muheydin Yassin Adam Alkenan فرصه عمل عن طريق الانترنت من عمر - سنه. العمل عباره عن نشر اعلانات على شبكات التواصل الاجتماعي .بدون شهادات اوخبرات سابقه بلمجال. العمل ضمن فريق دولي حول العالم  ردا كنت مهتم اترك تفاصيلك بلخاص شكرا🙏 واتس اب +,-- ::,,[],,,",N
